指标,metric_key,Traditional RAG,Agentic RAG,绝对变化(Agentic-Baseline),相对改善,变化95%CI下限,变化95%CI上限,配对样本数,统计显著,优胜系统,方向
Recall@1,retrieval.final.recall@1,0.7870370370370371,0.75,-0.037037037037037035,-0.047058823529411827,-0.08333333333333333,0.009259259259259259,108,False,Traditional RAG,越高越好
Recall@3,retrieval.final.recall@3,0.9444444444444444,0.9444444444444444,0.0,0.0,-0.027777777777777776,0.027777777777777776,108,False,持平,越高越好
Recall@5,retrieval.final.recall@5,0.9953703703703703,0.9814814814814815,-0.013888888888888888,-0.013953488372092974,-0.03252314814814814,0.004629629629629629,108,False,Traditional RAG,越高越好
Precision@1,retrieval.final.precision@1,0.8888888888888888,0.8333333333333334,-0.05555555555555555,-0.0624999999999999,-0.1111111111111111,0.0,108,False,Traditional RAG,越高越好
Precision@3,retrieval.final.precision@3,0.3796296296296296,0.3765432098765432,-0.0030864197530864196,-0.008130081300812898,-0.018518518518518517,0.009259259259259259,108,False,Traditional RAG,越高越好
Precision@5,retrieval.final.precision@5,0.2425925925925926,0.23703703703703705,-0.005555555555555556,-0.022900763358778657,-0.013009259259259259,0.001851851851851852,108,False,Traditional RAG,越高越好
HitRate@5,retrieval.final.hitrate@5,1.0,1.0,0.0,0.0,0.0,0.0,108,False,持平,越高越好
MRR,retrieval.final.mrr,0.9354938271604938,0.9023148148148148,-0.033179012345679014,-0.035466842626195955,-0.0632908950617284,-0.003858024691358025,108,True,Traditional RAG,越高越好
nDCG@5,retrieval.final.ndcg@5,0.9412205644498474,0.913075168379476,-0.02814539607037134,-0.029903082373495128,-0.05257930857778587,-0.006106915603729224,108,True,Traditional RAG,越高越好
Faithfulness,ragas.faithfulness,0.8926883742619037,0.8556120056120056,-0.037770535417594245,-0.04153338356238121,-0.07797138860006507,0.004455983514807041,111,False,Traditional RAG,越高越好
Answer Relevancy,ragas.answer_relevancy,0.8039858910544156,0.7749265535443541,-0.029059337510061508,-0.03614408888687166,-0.08059236722372529,0.020048444752057165,120,False,Traditional RAG,越高越好
Context Precision,ragas.context_precision,0.7918981480853858,0.8828828828087087,0.0357857857785619,0.11489449109497418,-0.0017517517532918295,0.0768455955833741,111,False,Agentic RAG,越高越好
Context Recall,ragas.context_recall,0.9533928571428572,0.9734234234234235,0.0148005148005148,0.021009771712150474,-0.01522951522951523,0.04934041184041184,111,False,Agentic RAG,越高越好
Answer Correctness,ragas.answer_correctness,0.4315833333333333,0.47200000000000003,0.04041666666666666,0.09364742228229399,-0.00958541666666667,0.09528124999999997,120,False,Agentic RAG,越高越好
必要事实覆盖率,answer.required_claim_coverage,0.011695906432748537,0.029239766081871343,0.017543859649122806,1.5,0.0,0.043859649122807015,114,False,Agentic RAG,越高越好
引用有效率,answer.citation_validity,1.0,1.0,0.0,0.0,0.0,0.0,107,False,持平,越高越好
正确拒答率,decision.correct_abstention,0.0,0.8333333333333334,0.8333333333333334,,0.5833333333333334,1.0,12,True,Agentic RAG,越高越好
错误作答率,decision.false_answer,1.0,0.16666666666666666,-0.8333333333333334,0.8333333333333334,-1.0,-0.5833333333333334,12,True,Agentic RAG,越低越好
平均耗时(ms),performance.latency_ms,3725.775,12756.575,9030.8,-2.423871543504372,8402.745208333334,9719.98,120,True,Traditional RAG,越低越好
P95耗时(ms),performance.latency_ms,7077.95,23117.649999999998,16039.699999999997,-2.2661505096814754,,,120,False,Traditional RAG,越低越好
平均输入Token,performance.input_tokens,847.6583333333333,2612.516666666667,1764.8583333333333,-2.082039736922306,1646.4804166666668,1881.0416666666667,120,True,Traditional RAG,越低越好
平均输出Token,performance.output_tokens,313.35833333333335,1008.175,694.8166666666667,-2.217323085923995,638.3368750000001,760.4885416666667,120,True,Traditional RAG,越低越好
平均单次成本(CNY),performance.estimated_cost_cny,0.001474375,0.004571373333333333,0.0030969983333333333,-2.100549950544016,0.0028944722333333335,0.0033032819,120,True,Traditional RAG,越低越好
错误率,performance.error,0.0,0.0,0.0,,0.0,0.0,120,False,持平,越低越好
