case_id,category,question_type,split,question,reference_answer,reference_claims,forbidden_claims,relevant_chunk_uids,review_status,reviewer,review_notes
attraction_notice_001,attraction_notice,single_hop,dev,什么原因可能导致故宫临时闭馆或调整开放时间？参观前应如何确认？,重大活动、极端天气或文物保护需要可能导致临时闭馆、区域关闭或调整开放时间。参观前应再次查看故宫官网和小程序公告。,"[""重大活动可能导致故宫临时闭馆或调整开放时间"", ""极端天气可能导致故宫临时闭馆或调整开放时间"", ""文物保护需要可能导致故宫临时闭馆或调整开放时间"", ""参观前应查看故宫官网和小程序公告以确认最新信息""]","[""故宫只在法定节假日调整开放时间"", ""参观前无需查看公告，预约成功即可""]","[""818e07d55a63ecda718698f4007a7ce330972ece955be4829aa02b47562f8a2d""]",approved,user_reviewed,
attraction_notice_002,attraction_notice,single_hop,dev,个人观众可以通过哪些官方渠道预约上海博物馆？,个人观众可通过官网、微信公众号等官方渠道预约上海博物馆。,"[""上海博物馆提供官网预约渠道"", ""上海博物馆提供微信公众号预约渠道""]","[""个人观众可通过电话预约上海博物馆"", ""上海博物馆不接受任何预约，需现场排队""]","[""67e73034e62652b88530ed2a9eaef8b14826f2510d603c13add6d854d19bc7fb""]",approved,user_reviewed,
attraction_notice_003,attraction_notice,single_hop,dev,在国家自然博物馆，如果多次爽约（未在规定时间前退票）会有什么后果？,累计爽约达到馆方规定次数后，账号可能在一定期限内无法继续预约。,"[""国家自然博物馆要求观众在预约有效时段到馆"", ""如无法到馆应在官方规定的截止时间前退票"", ""累计爽约达到规定次数后账号可能被限制预约""]","[""爽约一次就会永久禁止预约"", ""爽约不会影响后续预约""]","[""6759987f67a56fe72efbc0109ee6d16fb9994ecb8d88b1753fe3f9bc96542eaf""]",approved,user_reviewed,
attraction_notice_004,attraction_notice,single_hop,dev,故宫博物院的观众参观入口和出口分别是什么？,午门是观众参观入口，参观结束后从神武门或东华门离院。,"[""故宫博物院入口为午门"", ""故宫博物院出口为神武门或东华门""]","[""故宫博物院入口是神武门"", ""故宫博物院出口只有东华门""]","[""4b535cdb4ffd65d5f5c80f17652afe41fbeb7f40f88142f8708f6912e36d96c6""]",approved,user_reviewed,
attraction_notice_005,attraction_notice,single_hop,test,秦始皇帝陵博物院由哪些部分组成？,博物院由秦始皇兵马俑博物馆和秦始皇陵考古遗址公园（丽山园）组成。,"[""秦始皇帝陵博物院包括秦始皇兵马俑博物馆"", ""秦始皇帝陵博物院包括秦始皇陵考古遗址公园（丽山园）""]","[""秦始皇帝陵博物院只有兵马俑博物馆"", ""秦始皇帝陵博物院包括华山景区""]","[""2873c25c0e3750ea7684c2e75c05b6724bb442613c6190a964e2e97999319594""]",approved,user_reviewed,
attraction_notice_006,attraction_notice,single_hop,test,在成都博物馆参观时，哪些观众需要由监护人或同行人员全程陪同？,幼童、高龄老人、行动不便者和身体有潜在疾病的观众需要由监护人或同行人员陪伴入馆。,"[""幼童需要陪同入馆"", ""高龄老人需要陪同入馆"", ""行动不便者需要陪同入馆"", ""身体有潜在疾病的观众需要陪同入馆""]","[""只有老年人才需要陪同"", ""所有观众都必须由他人陪同""]","[""5d80b3cfde9b7d8a9a568aa1a58d6f9b4cc40bf65ea5ee9b77ab2006bbb47361""]",approved,user_reviewed,
attraction_notice_007,attraction_notice,single_hop,test,未满14周岁的未成年人如何预约中国国家博物馆？,未满14周岁的未成年人应由成年人代为预约，并与预约人同步核验入馆。,"[""未成年人需要由成年人代为预约"", ""未成年人应与预约人同步核验入馆""]","[""未成年人可以自行预约"", ""未成年人不需要预约""]","[""24e2917b67997242698d82756bcc0320359f629c243b631a2781fdd011a6ab4f""]",approved,user_reviewed,
attraction_notice_008,attraction_notice,single_hop,test,游览景区时，哪些区域禁止进入或靠近？,不应进入未开发、未正式开放或缺乏安全保障的区域，同时要远离濒水、崖边、河道等危险位置，不翻越护栏，不偏离开放游览线路。,"[""禁止进入未开发区域"", ""禁止进入未正式开放区域"", ""禁止进入缺乏安全保障的区域"", ""应远离濒水位置"", ""应远离崖边位置"", ""应远离河道位置""]","[""只要不去悬崖边就安全"", ""只有未开发区域禁止进入""]","[""c692c80212cfd9c6c42882caeea64aac57a66c345e0c322d4a2037a3fbb696db""]",approved,user_reviewed,
attraction_notice_009,attraction_notice,paraphrase,test,如何获取中国国家博物馆最准确的开放时间、预约名额和临时闭馆信息？,应以中国国家博物馆最新公告为准。,"[""开放安排以最新公告为准"", ""预约额度以最新公告为准"", ""临时闭馆信息以最新公告为准""]","[""这些信息在官网上永久不变"", ""电话咨询可以获取确切信息""]","[""32a972da2866970cdf4cbea841c8343aa3f5e83119f2c886c02f58d9d8cd9e25""]",approved,user_reviewed,
attraction_notice_010,attraction_notice,paraphrase,test,汛期或极端天气下出行，游客应该采取什么行动？,应密切关注目的地及沿途天气、气象和地质灾害预警，提前确认景区是否开放；收到景区关闭、转移或避险提示时，立即调整行程，不冒险进入。,"[""应关注目的地及沿途天气、气象和地质灾害预警"", ""应提前确认景区是否开放"", ""收到关闭或避险提示应立即调整行程"", ""不冒险进入危险区域""]","[""预约成功表示景区一定开放"", ""极端天气下景区仍会正常开放""]","[""90f8b367c4aa06155cdfa5e9093dbf4ee47c6af2725eb2cdf8b0cb1d58f98d62""]",approved,user_reviewed,
attraction_notice_011,attraction_notice,paraphrase,test,旅游出行前，游客应主动查询和关注哪些信息以确保安全？,出发前应查询目的地天气、道路交通、景区开放状态和风险提示，根据预警及时调整行程；通过景区和政府部门官方渠道确认开放区域，不轻信非官方路线推荐。,"[""查询目的地天气、道路交通、景区开放状态和风险提示"", ""根据预警及时调整行程"", ""通过景区和政府部门官方渠道确认开放区域"", ""不轻信非官方路线推荐""]","[""出发前只需关注天气即可"", ""可以通过第三方平台获取景区开放信息""]","[""73faafc200d59e6310731d8f65a3f4891ebc3f516b9ffa2ec5e63bb69c8f29d5""]",approved,user_reviewed,
attraction_notice_012,attraction_notice,paraphrase,test,故宫博物院在什么情况下可能会临时改变开放安排？,重大活动、极端天气或文物保护需要可能导致临时闭馆、区域关闭或调整开放时间。参观前应再次查看故宫官网和小程序公告。,"[""重大活动可能导致临时闭馆或调整开放时间"", ""极端天气可能导致临时闭馆或调整开放时间"", ""文物保护需要可能导致临时闭馆或调整开放时间"", ""参观前应再次查看故宫官网和小程序公告""]","[""故宫仅在极端天气时闭馆"", ""故宫闭馆信息无需提前查看""]","[""818e07d55a63ecda718698f4007a7ce330972ece955be4829aa02b47562f8a2d""]",approved,user_reviewed,
attraction_notice_013,attraction_notice,multi_context,test,在上海博物馆和国家自然博物馆参观时，关于预约和入馆有哪些共同要求？,两者都实行预约制，需通过官方渠道（官网、微信公众号等）预约；实行实名制，老人和儿童也需预约；参观时需携带预约使用的有效身份证件原件；遇客流较大时可能控制入馆速度或进行疏导。,"[""都实行预约制"", ""需通过官方渠道预约"", ""实行实名制"", ""老人和儿童也需预约"", ""参观时需携带有效身份证件原件"", ""客流较大时可能控制入馆速度""]","[""可以直接现场购票入馆"", ""无需预约即可参观""]","[""67e73034e62652b88530ed2a9eaef8b14826f2510d603c13add6d854d19bc7fb"", ""6759987f67a56fe72efbc0109ee6d16fb9994ecb8d88b1753fe3f9bc96542eaf""]",approved,user_reviewed,
attraction_notice_014,attraction_notice,multi_context,test,国家自然博物馆和故宫博物院在预约时段和证件携带方面分别有哪些规定？,国家自然博物馆：观众须在预约的有效时段到馆，错过时段可能被谢绝入馆；外籍及港澳台观众应携带预约时使用的护照或通行证等原件核验。故宫博物院：按预约的上午或下午时段检票；参观当日应携带预约使用的有效身份证件原件。,"[""国家自然博物馆须在预约有效时段到馆"", ""国家自然博物馆外籍观众需携带护照或通行证原件"", ""故宫博物院按上午或下午时段检票"", ""故宫博物院需携带预约使用的有效身份证件原件""]","[""国家自然博物馆可以现场预约"", ""故宫博物院可以当日购票""]","[""6759987f67a56fe72efbc0109ee6d16fb9994ecb8d88b1753fe3f9bc96542eaf"", ""4b535cdb4ffd65d5f5c80f17652afe41fbeb7f40f88142f8708f6912e36d96c6""]",approved,user_reviewed,
